打开	aa;
悄悄	ym;
心情	yn;
惊人	yo;
追求	yp;
必须	yq;
懊悔	yr;
食物	ys;
解决	yt;
忙碌	yu;
惨痛	yv;
性格	yw;
争斗	yx;
恰当	yy;
打击	aa;
据说	ab;
抒情	ac;
技术	ad;
摇头	ae;
抚摸	af;
拒绝	ag;
持久	ah;
接着	ai;
提出	aj;
下去	ak;
可能	al;
东方	am;
捉摸	an;
撤销	ao;
过来	ap;
投资	aq;
指导	ar;
描写	as;
拥有	at;
扩大	au;
抬起	av;
推广	aw;
报道	ax;
执行	ay;
对手	ba;
双手	bb;
丑恶	bc;
对不起	bd;
改良	be;
戏剧	bg;
屋子	bh;
已知	bi;
己任	bj;
观点	bk;
譬如	bl;
眉目	bm;
迟早	bo;
屡屡	bp;
属性	bq;
履行	br;
层次	bs;
勇敢	bt;
屏幕	bu;
艰难	bv;
难以	bw;
屈服	bx;
嫉妒	by;
陆续	ca;
巴西	cb;
她的	cc;
预约	cd;
降低	ce;
柔软	cf;
陕西	cg;
阵地	ch;
障碍	ci;
阳性	cj;
如何	cl;
阻止	cm;
嫦娥	cn;
矛盾	co;
好容易	cp;
媲美	cr;
随便	cs;
阶段	ct;
嫌弃	cu;
始终	cv;
阴性	cw;
妇女	cx;
也许	cy;
寿命	da;
超过	db;
帮助	dc;
欺骗	de;
感觉	df;
越来越	dg;
基础	dh;
西北	di;
百万	dj;
走进	dk;
否则	dl;
真实	dm;
尴尬	dn;
碎片	do;
还有	dp;
其实	dq;
不得不	dr;
需求	ds;
零下	dt;
不错	du;
成功	dv;
期望	dw;
妻子	dx;
确实	dy;
何必	ea;
反对	eb;
他的	ec;
例如	ed;
任务	ee;
使用	ef;
倒退	eh;
位于	ei;
但愿	ej;
偶然	ek;
保证	el;
处于	em;
促使	en;
依靠	eo;
近似	ep;
作为	eq;
货币	er;
传播	es;
价值	et;
信仰	eu;
仔细	ev;
遥感	ew;
健康	ex;
你的	ey;
于是	fa;
权力	fb;
五月	fc;
无奈	fd;
格外	fe;
本来	ff;
天天	fg;
标志	fh;
一定	fi;
更为	fj;
两边	fk;
整体	fl;
相互	fm;
正在	fn;
工人	fo;
来源	fp;
机器	fq;
楷书	fr;
形式	fs;
检验	ft;
样品	fu;
根本	fv;
构造	fw;
功夫	fx;
橡胶	fy;
夺取	ga;
配合	gb;
环节	gd;
革新	ge;
玩具	gf;
面对	gi;
春节	gj;
理论	gk;
或许	gl;
划清	gm;
态度	go;
达成	gp;
医院	gq;
勤奋	gs;
珍贵	gt;
夫妻	gu;
玻璃	gv;
欧洲	gw;
牵涉	gy;
寺庙	ha;
教育	hb;
地位	hc;
坏处	hd;
暂时	he;
辐射	hf;
干扰	hg;
封闭	hh;
垃圾	hi;
都有	hj;
责任	hk;
喜爱	hl;
到底	hm;
末期	ho;
连接	hp;
表示	hr;
考虑	hs;
输入	ht;
增长	hu;
教育	hv;
静止	hw;
轨道	hy;
河水	ia;
汉字	ib;
池水	ic;
潮湿	id;
所有	ie;
举行	if;
渠道	ig;
立刻	ii;
意见	ij;
测验	ik;
消失	im;
涉及	in;
注重	io;
溶解	ip;
产品	iq;
活泼	ir;
满意	is;
沦为	it;
滋味	iu;
渗透	iv;
淘汰	iw;
浸润	ix;
学生	iy;
时间	ja;
照顾	jb;
略有	je;
题材	jf;
旺盛	jg;
崭新	jh;
暗暗	ji;
晶体	jj;
映出	jk;
峭壁	jm;
显著	jn;
昨晚	jq;
昆虫	jr;
暴力	js;
界限	jt;
日后	jv;
明白	jw;
男性	jx;
财富	ka;
邮费	kc;
电脑	kd;
同样	kf;
水分	kh;
赔付	ki;
卡号	km;
由此	ko;
遇见	kp;
贬值	kq;
典型	ks;
内部	kt;
赠送	ku;
畅通	kv;
刚刚	kw;
见面	kx;
愚蠢	ky;
吓人	la;
哪儿	lb;
叶子	ld;
听说	le;
韭菜	lf;
味儿	lh;
非但	li;
唱歌	lj;
虽说	lk;
品味	ll;
吵闹	lm;
器材	ls;
只是	lt;
光芒	mh;
小学生	mi;
瞄準	ms;
帐号	mt;
目光	mu;
削减	mw;
睁大	my;
止损	ni;
频率	nm;
监督	nq;
此时	nr;
掌声	nt;
业余	nu;
跑到	nw;
记忆	ob;
安全	oc;
夜里	oe;
完全	of;
方向	og;
诗词	oh;
就要	ol;
市长	om;
议论	oo;
设备	oq;
话语	or;
实际	os;
认识	ot;
商品	ou;
充满	ov;
调查	ow;
密度	oy;
衬托	pa;
变成	pb;
之间	pc;
疼爱	pe;
空间	pf;
类似	pg;
精妙	ph;
亦即	pi;
间隔	pj;
问道	pl;
补偿	pm;
门外	pn;
粽子	po;
疯狂	pq;
窗户	pr;
突出	ps;
容量	pt;
阐述	pu;
疲劳	pv;
文学	pw;
离去	px;
恋爱	py;
年龄	qa;
系统	qb;
顺序	qd;
符号	qe;
箱子	qf;
重大	qg;
等待	qh;
篇幅	qi;
几人	qj;
智慧	ql;
怎样	qm;
延长	qn;
管辖	qo;
简直	qp;
气质	qq;
笔画	qr;
升起	qs;
签名	qt;
瓜子	qu;
第二	qv;
风俗	qw;
行动	ra;
犹如	rd;
循环	re;
毁坏	rf;
狭义	rg;
街上	rh;
香烟	rj;
独特	rk;
种类	rl;
利用	rm;
向上	rn;
往来	ro;
适合	rp;
秩序	rq;
比较	rr;
科技	rs;
衔接	rt;
入口	ru;
很快	rv;
黎明	rw;
秉持	rx;
称呼	ry;
冻结	sa;
互助	sb;
减少	sd;
原因	se;
左手	sf;
头发	sg;
落后	si;
遭到	sj;
英国	sk;
况且	sl;
布局	sm;
在于	sn;
凉快	so;
芝麻	sp;
而是	sr;
厌恶	ss;
共享	st;
荒谬	su;
决定	sv;
警告	sw;
专门	sx;
劳动	sy;
昏暗	ta;
分子	tb;
看不见	td;
版本	te;
叙述	tf;
舒服	th;
镜子	ti;
留意	tj;
自然	tk;
销售	tm;
乞求	tn;
领导	to;
片段	tp;
铁定	tq;
铭刻	tr;
错误	ts;
从来	tt;
手里	tu;
创作	tv;
钥匙	tw;
键盘	tx;
言语	ua;
普通话	ub;
妄想	uc;
床上	uf;
关于	ug;
曾经	uj;
视频	uk;
总体	ul;
盲目	um;
普通	un;
熔化	up;
炸药	uq;
背后	ur;
并不	us;
首先	ut;
善良	uu;
弟弟	uv;
前提	uw;
塑造	ux;
忘掉	uy;
那些	va;
经验	vb;
了不起	vd;
缓慢	ve;
线路	vf;
参考	vg;
结束	vh;
编制	vi;
细小	vj;
承认	vk;
台子	vl;
组成	vm;
疏远	vn;
孩子	vo;
继续	vp;
允许	vq;
经得起	vr;
买卖	vs;
纵使	vt;
缠绕	vu;
丝滑	vv;
约定	vw;
纠结	vx;
给予	vy;
缺失	wb;
肥胖	wc;
卑微	wd;
身份	we;
生命	wg;
特点	wh;
胆量	wj;
制作	wk;
造成	wl;
躺下	wn;
脑子	wp;
选择	wq;
忽略	wt;
焦急	wu;
删除	ww;
凶狠	wx;
牛角尖	wy;
建议	xa;
骚扰	xb;
收到	xe;
驱逐	xg;
骗子	xi;
骡子	xj;
剥夺	xk;
加强	xl;
肃静	xm;
以为	xo;
边上	xp;
发动机	xs;
验证	xt;
灵感	xu;
既然	xv;
戳穿	xw;
出口	xx;
快速	yb;
色素	yc;
愤怒	yd;
合理	ye;
冠军	yf;
惭愧	yh;
慢性	yj;
负担	yk;
勉强	yl;
恍惚	ym;
久远	yo;
恼火	yp;
必然	yq;
懊恼	yr;
食品	ys;
解释	yt;
惦记	yu;
惨重	yv;
性质	yw;
命令	yx;
恰好	yy;
